"","ID","Red_list_category","Latitude","Longitude","temperate_or_tropical","System","Primary_threat","year","Abundance"
"14334",253,"VU",13.905,-60.97028,"Tropical","Terrestrial","Habitat loss",1950,1000
"14504",83,"VU",-30,26,"Tropical","Terrestrial","Invasive spp/genes",1950,80
"14505",82,"VU",-22,17,"Tropical","Terrestrial","Exploitation",1950,50000
"28790",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1951,31
"43376",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1952,31
"57962",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1953,28
"72548",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1954,31
"87134",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1955,28
"101720",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1956,25
"102020",83,"VU",-30,26,"Tropical","Terrestrial","Invasive spp/genes",1956,110
"116306",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1957,25
"130871",405,"VU",47.5,16.41667,"Temperate","Terrestrial","Habitat degradation/change",1958,300
"130892",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1958,31
"131273",2,"VU",-4.33333,55.66667,"Tropical","Terrestrial","Invasive spp/genes",1958,30
"145478",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1959,26
"145803",58,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1959,20000
"145829",32,"LC",-3.5,35.75,"Tropical","Terrestrial","Exploitation",1959,600
"160064",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1960,24
"160167",280,"VU",58.54111,41.77306,"Temperate","Terrestrial","Habitat loss",1960,1e+05
"174650",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1961,33
"174906",127,"VU",-3.16667,35.58333,"Tropical","Terrestrial","Disease",1961,67.5
"174972",61,"LC",-34.05,20.45,"Tropical","Terrestrial","Invasive spp/genes",1961,84
"174973",60,"LC",-2.33333,34.83333,"Tropical","Terrestrial","Disease",1961,260000
"175001",32,"LC",-3.5,35.75,"Tropical","Terrestrial","Exploitation",1961,451
"189236",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1962,38
"189492",127,"VU",-3.16667,35.58333,"Tropical","Terrestrial","Disease",1962,12.5
"189550",69,"LC",11.33333,14.66667,"Tropical","Terrestrial","Habitat loss",1962,20000
"203822",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1963,38
"204148",57,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1963,7500
"218408",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1964,40
"218734",57,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1964,15000
"232994",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1965,44
"233215",162,"EN",7.1,39.78333,"Tropical","Terrestrial","Habitat degradation/change",1965,7500
"233221",156,"LC",2,33,"Tropical","Terrestrial","Habitat loss",1965,4500
"233300",77,"NT",0.33333,32.58333,"Tropical","Terrestrial","Habitat loss",1965,230
"233320",57,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1965,11250
"233338",39,"LC",2,33,"Tropical","Terrestrial","Habitat loss",1965,25000
"233345",32,"LC",-3.5,35.75,"Tropical","Terrestrial","Exploitation",1965,285
"247559",405,"VU",47.5,16.41667,"Temperate","Terrestrial","Habitat degradation/change",1966,135
"247580",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1966,38
"247746",217,"EN",26.63333,93.38333,"Tropical","Terrestrial","Habitat loss",1966,349
"247749",214,"VU",26.63333,93.38333,"Tropical","Terrestrial","Invasive spp/genes",1966,120
"247752",211,"VU",26.63333,93.38333,"Tropical","Terrestrial","Habitat loss",1966,213
"247754",209,"EN",26.63333,93.38333,"Tropical","Terrestrial","Invasive spp/genes",1966,471
"247756",207,"VU",26.63333,93.38333,"Tropical","Terrestrial","Habitat loss",1966,1
"247906",57,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1966,12000
"262166",384,"NT",52.5,-3.75,"Temperate","Terrestrial","Exploitation",1967,49
"262350",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1967,7779
"262438",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1967,6000
"262463",86,"LC",3.88278,33.87444,"Tropical","Terrestrial","Exploitation",1967,72
"262492",57,"LC",-3.18333,35.53333,"Tropical","Terrestrial","Habitat degradation/change",1967,10500
"262517",32,"LC",-3.5,35.75,"Tropical","Terrestrial","Exploitation",1967,380
